Id,Categoria,Ideologia,biaix_intensitat,biaix_fragment,biaix_explicacio,desinformacio_intensitat,desinformacio_fragment,desinformacio_explicacio,emocional_intensitat,emocional_fragment,emocional_explicacio
11,Llenguatge emocional,Dreta,alta,"hay extranjeros que vienen a delinquir, hay extranjeros que vienen a imponer fanatismos y hay extranjeros que vienen a recibir las ayudas sociales que necesitan los españoles","Biaix ideològic alt amb múltiples indicadors coordinats: (1) Framing negatiu estructural que presenta la immigració principalment com a amenaça ('delinquir', 'imponer fanatismos', 'recibir ayudas sociales'). (2) Bandos enfrontats explícits: 'españoles' vs 'extranjeros', amb les ajudes socials com a recurs en disputa ('ayudas sociales que necesitan los españoles'). (3) Paraules carregades: 'religión fanática', 'fanatismos', 'delinquir'. (4) Framing polaritzant que divideix els estrangers en 'bons' (treballen, cotitzen) vs 'dolents' (delinqueixen, imposen), una simplificació maniquea. (5) Proposta de 'remigración' presentada com a solució lògica, normalitzant un concepte ideològicament extrem. (6) Deslegitimació de la pregunta del periodista ('falsa hipótesi', 'no me está haciendo una pregunta sino dando una opinión'), tàctica de framing per evitar el debat.",moderada,hay extranjeros que vienen a recibir las ayudas sociales que necesitan los españoles... una vivienda social pública que necesiten los españoles,"Múltiples afirmacions presentades com a fets sense cap font ni dada: (1) La premissa que els estrangers 'venen a rebre ajudes socials' és una generalització abusiva sense suport estadístic; la majoria d'estudis mostren contribució fiscal neta dels immigrants. (2) La implicació que l'habitatge social públic es destina a estrangers en detriment d'espanyols no s'acompanya de cap dada. (3) L'associació entre població estrangera i 'imposar una religió fanàtica que converteixi les dones en éssers inferiors' és una generalització abusiva que presenta anècdotes o percepcions com a fenomen sistèmic, sense cap evidència concreta.",alta,imponer una religión fanática que convierta las mujeres en seres inferiores... repatriación... deportación... remigración,"Saturació retòrica amb 6+ recursos coordinats: (1) Paraules emocionals intenses: 'fanática', 'seres inferiores', 'delinquir', 'deportación'. (2) Anàfora deliberada triple: 'hay extranjeros que vienen a delinquir, hay extranjeros que vienen a imponer fanatismos y hay extranjeros que vienen a recibir' — estructura retòrica de martell repetitiu dissenyada per amplificar l'impacte emocional. (3) Apel·lació a identitat: 'los españoles' repetit com a grup que pateix, creant identificació emocional amb l'audiència. (4) Gradació retòrica en les solucions: 'repatriación, deportación, remigración' — escalada de contundència. (5) Apel·lació a la por: referència a religió fanàtica i dones com a éssers inferiors, activant por i indignació. (6) Contraposició emocional: l'estranger 'benvingut' vs l'estranger 'deportable', forçant una resposta emocional binària."
12,Llenguatge emocional,Dreta,alta,"este gobierno los violadores en la calle, y se ha dedicado a importar a gente que no respeta a las mujeres","El text presenta un biaix ideològic sistemàtic i polaritzant amb múltiples indicis coordinats: (1) Framing negatiu estructural contra el govern: 'los violadores en la calle', 'se ha dedicado a importar'; (2) Bandos enfrontats explícits: 'nosotros' (Vox, els defensors de les dones) vs 'este gobierno' (els culpables); (3) Verbs carregats d'intencionalitat: 'importar gente' (deshumanització deliberada d'immigrants, implica culpa activa del govern); (4) Denigració directa de l'adversari polític atribuint-li responsabilitat directa de violacions; (5) Autoatribució absoluta de superioritat moral: 'somos el partido que defiende más a las mujeres'; (6) Comparació deformant implícita: el govern com a facilitador de violència sexual. Són 6+ indicis coordinats en una narrativa polaritzant clara.",alta,"se han multiplicado las violaciones, porque este gobierno los violadores en la calle, y se ha dedicado a importar a gente que no respeta a las mujeres","Narrativa coordinada enganyosa amb múltiples indicis: (1) 'Se han multiplicado las violaciones': afirmació concreta sense cap font ni dada verificable; les estadístiques oficials no recolzen una 'multiplicació'; (2) 'Los violadores en la calle': generalització abusiva que presenta com a sistèmic casos anecdòtics vinculats a la llei del 'solo sí es sí', ometent el context de revisions judicials posteriors; (3) 'Importar a gente que no respeta a las mujeres': generalització xenòfoba massiva que atribueix a tot un col·lectiu immigrant una característica delictiva, sense cap suport estadístic; (4) Omissió deliberada de context: no menciona que la violència sexual existia abans d'aquest govern ni que les causes són multicausals. Conjunt de claims falsos o distorsionats articulats en narrativa coherent.",alta,"se han multiplicado las violaciones, porque este gobierno los violadores en la calle, y se ha dedicado a importar a gente que no respeta a las mujeres. Me parece que somos el partido que defiende más a las mujeres. Nosotros queremos dejar en prisión de manera perpetua a los agresores sexuales","Saturació retòrica amb 6+ recursos coordinats: (1) Paraules emocionals intenses: 'violaciones', 'violadores', 'agresores sexuales' repetides per generar por i indignació; (2) Apel·lació a identitat col·lectiva: 'nosotros' repetit com a grup protector; (3) Urgència implícita: si no actuem, les dones seguiran en perill; (4) Hipèrbole: 'se han multiplicado', 'prisión perpetua', 'no hay ningún partido'; (5) Anàfora retòrica: repetició de 'porque' per acumular arguments emocionals en cascada; (6) Apel·lació a la por: el govern deixa violadors al carrer i importa agressors. Tot coordinat per provocar por, indignació i adhesió identitària."
13,Llenguatge emocional,Esquerra,moderada,"la presentación de un proyecto con aires feministas, sindicalistas y ecologistas. Frente a una auditorio abarrotado... se ha acompañado de un plantel de mujeres, cuya elección ha supuesto toda una declaración de intenciones. Junto a ella, posaban orgullosas...","El text presenta el projecte de Sumar des d'un framing positiu coordinat: 'auditorio abarrotado' (èxit de convocatòria), 'plantel de mujeres' (valoració positiva), 'posaban orgullosas' (atribució emocional favorable), 'declaración de intenciones' (framing admiratiu). No hi ha cap veu crítica, cap contraposició ni cap perspectiva alternativa. Tot i que gran part del text reprodueix declaracions literals de Díaz, la veu narradora amplifica sistemàticament el to favorable sense equilibri informatiu. No arriba a alta perquè no hi ha denigració d'adversaris ni polarització explícita nosaltres/ells des de la veu periodística.",lleu,entre gritos y aplausos de las cerca de 3.000 personas que la han acompañado en el polideportivo Magariños,"La xifra de 3.000 assistents es presenta sense font oficial ni atribució (organització, policia, aforament). És una dada concreta no verificada dins el text. La resta d'informació (noms de polítiques presents, declaracions literals) és verificable. No hi ha generalitzacions abusives ni narratives contradictòries, per la qual cosa es queda en un únic indici aïllat.",alta,"Quiero ser la primera presidenta del país, porque es el tiempo de las mujeres... la España de las mujeres es imparable, porque no hay marcha atrás... Lo vamos a conseguir... las mujeres estamos cansadas de tutelas... No pertenecemos a nadie más que a nosotras mismas... nosotras hacemos política para hacer a la gente feliz... Yo soy libre, nadie puede detener la marcha de mis pensamientos","El text està saturat de recursos emocionals: (1) Anàfora repetida 'Quiero ser la primera presidenta' (3 vegades); (2) Apel·lació identitària constant al col·lectiu dones ('las mujeres', 'nosotras', 'España de las mujeres'); (3) Hipèrboles i absoluts ('imparable', 'no hay marcha atrás', 'nadie puede detener'); (4) Urgència temporal ('el tiempo de las mujeres', 'el futuro ya está aquí'); (5) Paraules emocionals acumulades ('cansadas', 'libres', 'lucha', 'esperanza', 'feliz', 'dignidad'); (6) Cita literària de Rosalía de Castro com a recurs retòric d'autoritat emocional; (7) Referència personal íntima (la filla) per connectar emocionalment. Són 7+ recursos coordinats, cosa que configura una saturació retòrica pròpia d'intensitat alta."
14,Llenguatge emocional,Esquerra,alta,"esa propuesta de las derechas retrógradas que quieren desmantelar prácticamente todos los avances (...) rezumar clasismo. Reniegan de las conquistas en derechos, en dignidad laboral, rechazan el estado del bienestar, niegan el cambio climático, desprecian a quienes aman de forma distinta a ellos, imponen un modelo único y excluyente","El text presenta una polarització extrema i sistemàtica entre dos bàndols: 'nosaltres' (progrés, drets, lluita) vs 'les dretes retrògrades' (desmantellen, reneguen, rebutgen, desprecien, imposen). Hi ha framing negatiu estructural massiu amb acumulació de verbs carregats ('rezumar clasismo', 'reniegan', 'desprecian', 'imponen') que atribueixen intenció maliciosa a l'adversari. La construcció 'nosaltres per cada euro... deu euros' reforça el bàndol virtuós contra l'enemic demonitzat. Es superen àmpliament els 6 indicis: paraules valoratives intenses ('retrógradas', 'clasismo', 'cáncer social'), bàndols enfrontats explícits, verbs amb càrrega moral, framing negatiu sistemàtic i denigració directa de l'oponent.",moderada,"quieren desmantelar prácticamente todos los avances que hemos logrado durante estas últimas décadas (...) niegan el cambio climático, desprecian a quienes aman de forma distinta a ellos",Hi ha múltiples generalitzacions abusives sense suport factual: atribuir a totes 'les dretes' que volen desmantelar 'pràcticament tots' els avenços és una hipèrbole presentada com a fet. Afirmar que 'neguen el canvi climàtic' i 'desprecien' col·lectius LGTBI com a posició uniforme de tota la dreta és una simplificació enganyosa que omet matisos. La promesa 'por cada euro... diez euros' és una xifra concreta sense cap base pressupostària verificable. Són anècdotes i posicions parcials presentades com a sistèmiques.,alta,dilema existencial (...) legaremos a nuestros hijos y a nuestras hijas (...) hay mucho en juego (...) este cáncer social (...) nosotros vamos a dedicar diez euros a la lucha (...) les consagramos todo nuestro tiempo y todo nuestro esfuerzo,"Saturació retòrica amb més de 6 recursos emocionals coordinats: apel·lació a la por i urgència ('dilema existencial', 'hay mucho en juego'), apel·lació a la família i el futur ('hijos e hijas', 'legaremos'), metàfora hiperbòlica ('cáncer social'), paraules emocionals intenses ('dignidad', 'lucha', 'víctimas', 'consagramos'), anàfora retòrica ('por cada euro... por cada minuto'), contrast dramàtic amplificador ('un euro vs deu euros', 'un minuto vs todo nuestro tiempo'). L'estructura acumulativa construeix un crescendo emocional deliberat que culmina amb la promesa sacrificial ('todo nuestro tiempo y todo nuestro esfuerzo')."
15,Llenguatge emocional,Dreta,alta,"los malditos micrófonos de la casta decían que era imposible [...] a pesar de sus operaciones, de sus mentiras, de sus difamaciones y de su persecución asquerosa [...] Nos destruyeron la vida, nos robaron el fruto de nuestro trabajo [...] Nos quieren esclavos de sus dádivas, nos quieren sumisos, de rodillas [...] el miedo es la herramienta de los cobardes que quieren mantener sus privilegios","El text presenta una polarització extrema i sistemàtica entre 'nosaltres' (el poble, els liberals, el lleó) i 'ells' (la casta, els cobardes, els privilegiats). Hi ha framing negatiu estructural massiu: 'malditos', 'casta', 'persecución asquerosa', 'esclavos', 'maldita miseria'. S'utilitzen verbs fortament carregats que imputen culpabilitat moral: 'destruyeron', 'robaron', 'quitaron'. Hi ha denigració directa de l'adversari amb insults ('cobardes', 'casta', 'asquerosa') i bandos enfrontats de manera explícita i constant al llarg de tot el discurs. Es compten més de 10 indicis coordinats de biaix ideològic.",moderada,este país que alguna vez fue el más rico del mundo [...] Hemos logrado una gesta histórica que nadie en la historia de este país fue capaz de hacer en tan poco tiempo,"L'afirmació que l'Argentina 'va ser el país més ric del món' és una generalització històrica distorsionada: l'Argentina va tenir un PIB per càpita alt a principis del segle XX però mai no va ser el país més ric del món en termes absoluts ni per càpita de manera sostinguda. A més, l'afirmació d'haver aconseguit 'una gesta històrica que ningú va ser capaç de fer' és una claim grandiosa sense cap dada ni font que la sustenti. Aquestes dues afirmacions sense context ni fonts, combinades amb l'omissió deliberada de matisos, configuren desinformació moderada.",alta,"Me desgarra el alma ver a los padres argentinos llorando porque sus hijos se van del país [...] Me duele ver a los abuelitos tener que elegir entre comprarse los remedios o comer ese día [...] ¡Pero no contaban con que el león iba a despertar! [...] esta elección se trata de ustedes, se trata de sus hijos, se trata de sus nietos [...] ¡Viva la libertad, carajo!","Hi ha una saturació retòrica completa amb més de 10 recursos emocionals coordinats: apel·lacions a la identitat col·lectiva ('pueblo argentino', 'padres', 'abuelitos', 'hijos', 'nietos'), paraules emocionals intenses ('desgarra el alma', 'tristeza', 'duele', 'miseria', 'miedo'), anàfores repetides ('se trata de... se trata de... se trata de...', 'nos destruyeron... nos robaron... nos quitaron'), exclamacions constants, metàfora del lleó com a despertar heroic, urgència implícita ('basta', 'ahora o nunca' implícit), hipèrboles ('gesta histórica que nadie fue capaz'), i apel·lació directa al receptor ('les pido con el corazón en la mano'). El text és un exemple paradigmàtic de discurs populista amb manipulació emocional deliberada i constant."
16,Llenguatge emocional,Dreta,alta,"ustedes, que tratan como violadores a todos los hombres de España... no tratan como violadores a los violadores reales, a los que nos dicen que son víctimas que merecen la reinserción y a los que rebajan las penas para sacarlos a la calle... ustedes han destruido la verdadera igualdad... ustedes solo quieren igualdad en la miseria y en la ruina","El text presenta una polarització extrema i sistemàtica tipus 'nosaltres vs ells' (els espanyols vs 'ustedes'/el govern Sánchez). Hi ha framing negatiu estructural massiu: 'profanar tumbas', 'remover huesos', 'destruido', 'roban', 'miseria', 'ruina'. Paraules valoratives intenses com 'violadores', 'denigran', 'borran' aplicades al rival polític. Verbs carregats d'intenció moral: 'persiguen el mérito', 'roban la posibilidad de prosperar'. Bandos enfrontats explícits: el govern com a agent destructor actiu vs 'los españoles' com a víctimes. S'acumulen molt més de 6 indicis coordinats de biaix ideològic de dreta conservadora contra l'esquerra.",moderada,"ustedes, que tratan como violadores a todos los hombres de España, al menos como violadores en potencia... rebajan las penas para sacarlos a la calle... ustedes han destruido la verdadera igualdad... Ustedes persiguen el mérito y el esfuerzo en la escuela","Múltiples generalitzacions abusives sense suport factual: dir que el govern tracta 'todos los hombres' com a violadors és una deformació de la llei del 'solo sí es sí'. Afirmar que 'rebajan las penas para sacarlos a la calle' omet el context (les rebaixes van ser un efecte no desitjat de la llei, no un objectiu). Presentar que 'persiguen el mérito en la escuela' i que 'destruyen la igualdad de oportunidades' són claims categòrics sense cap dada ni font que els sustentin. Anècdotes i interpretacions parcials presentades com a fets sistèmics.",alta,con el corazón en la mano... profanar tumbas y remover huesos... respeto sacramental a la mujer y a la palabra madre... roban a las personas más humildes... igualdad en la miseria y en la ruina... vamos a luchar,"Saturació retòrica amb més de 6 recursos emocionals coordinats. Paraules emocionals intenses: 'profanar', 'sacramental', 'miseria', 'ruina', 'luchar', 'roban'. Apel·lacions identitàries: 'los españoles', 'las personas más humildes', 'la mujer', 'la palabra madre'. Hipèrboles sistemàtiques: 'no ha dejado a un solo español vivo tranquilo', 'todos los hombres de España'. Urgència implícita en 'vamos a luchar'. Anàfora amb 'ustedes' repetit com a recurs acusatori. Imatge visceral de 'remover huesos' i 'profanar tumbas' per provocar rebuig emocional. El conjunt busca indignar i mobilitzar, no informar."
17,Llenguatge emocional,Esquerra,alta,EEUU piensa que el mundo es suyo... No lo podemos permitir... Rompamos relaciones con EEUU y salgamos de la OTAN,"Biaix antiamericanista i antiatlantista sistemàtic amb múltiples indicadors coordinats: (1) Framing negatiu estructural que presenta EEUU com a amenaça imperial ('piensa que el mundo es suyo'), (2) Bandos enfrontats explícits: 'nosaltres' (implícit) vs EEUU/OTAN com a enemics, (3) Generalització abusiva que redueix tota la política exterior d'EEUU a una sola frase denigrant, (4) Crida a l'acció polaritzant ('rompamos relaciones', 'salgamos de la OTAN') sense cap matís ni consideració de conseqüències, (5) Framing de confrontació total sense espai per al debat racional, (6) Analogia deformant implícita d'EEUU com a potència imperialista opressora. Són 6+ indicis coordinats amb polarització extrema.",moderada,EEUU piensa que el mundo es suyo,"Generalització abusiva massiva presentada com a fet objectiu: atribueix a tot un país ('EEUU') una intenció unívoca ('piensa que el mundo es suyo') sense cap evidència, font ni matís. A més, la crida a 'rompre relacions' i 'sortir de l'OTAN' omet deliberadament tot el context de les implicacions geopolítiques, econòmiques i de seguretat que tindria aquesta acció, cosa que constitueix omissió deliberada de context rellevant. Dos indicadors clars: generalització abusiva + omissió de context.",alta,No lo podemos permitir... Rompamos relaciones con EEUU y salgamos de la OTAN antes de que sea tarde,"Saturació retòrica amb 6+ recursos coordinats: (1) Urgència explícita: 'antes de que sea tarde' (exactament l'indicador definit), (2) Paraules emocionals d'amenaça implícita ('no lo podemos permitir' implica perill), (3) Apel·lació a identitat col·lectiva amb 'nosaltres' implícit ('podemos', 'rompamos', 'salgamos'), (4) Imperatius retòrics que criden a l'acció emocional ('rompamos', 'salgamos'), (5) Punts suspensius com a recurs retòric per crear tensió dramàtica, (6) Hipèrbole geopolítica ('el mundo es suyo'). Tot el text és una crida emocional a l'acció sense cap argument racional."
18,Llenguatge emocional,Esquerra,alta,"España ya es otra, España ya ha cambiado y no vamos a parar hasta que la dignidad se haga costumbre... que viva la furia trans, que viva el orgullo LGTBI... que viva la lucha antiracista y que viva la lucha de las mujeres","El text presenta una visió exclusivament progressista de la realitat espanyola com a únic camí legítim, sense reconèixer cap perspectiva alternativa. Hi ha un framing ideològic clar on el canvi d'Espanya es presenta com inherentment positiu ('dignidad se haga costumbre' implica que abans no hi havia dignitat). La construcció 'nosaltres' implícit ('no vamos a parar') vs un adversari no nomenat però present (qui s'oposa a aquestes lluites) crea polarització de bandos enfrontats. L'enumeració selectiva de causes exclusivament d'un espectre ideològic (trans, LGTBI, antiracisme, feminisme) sense cap matís ni equilibri constitueix biaix sistemàtic i coordinat amb 6+ indicis: framing positiu unilateral, bandos implícits, verbs carregats d'activisme, selecció ideològica exclusiva de temes.",lleu,"España ya es otra, España ya ha cambiado","L'afirmació que 'España ya es otra' i 'ya ha cambiado' es presenta com un fet consumat i indiscutible, sense cap dada, font ni evidència concreta que ho sustenti. És una generalització abusiva que dona per feta una transformació profunda del país sense especificar en quins indicadors es basa. No obstant, al tractar-se clarament d'un discurs polític retòric i no d'un article informatiu, l'audiència pot interpretar-ho com a opinió, per la qual cosa es queda en intensitat lleu.",alta,"no vamos a parar hasta que la dignidad se haga costumbre... que viva la furia trans, que viva el orgullo LGTBI... que viva la lucha antiracista y que viva la lucha de las mujeres","Saturació retòrica amb 6+ recursos emocionals coordinats: (1) Paraules emocionals intenses: 'dignidad', 'furia', 'orgullo', 'lucha' (repetida 2 vegades). (2) Anàfora clara amb 'que viva' repetit 4 vegades, creant un ritme d'arenga. (3) Urgència i determinació absoluta: 'no vamos a parar'. (4) Apel·lació a identitats col·lectives: trans, LGTBI, antiracistes, dones. (5) Hipèrbole implícita: 'hasta que la dignidad se haga costumbre' implica que ara no existeix dignitat. (6) Estructura d'exclamacions acumulades amb ritme creixent. El text és pràcticament un crit de mobilització emocional pur, dissenyat per generar adhesió identitària i no per informar."
19,Llenguatge emocional,Dreta,alta,La primera verdad que el aprendiz de tirano dice en 7 años: la invasión migratoria trae inseguridad y destruye el mercado de la vivienda.,"Biaix sistemàtic amb múltiples indicis coordinats: (1) 'aprendiz de tirano' és una denigració directa amb comparació deformant cap a dictadura/tirania; (2) 'la primera verdad en 7 años' implica que tot el que ha dit durant 7 anys és mentida, framing negatiu extrem; (3) 'invasión migratoria' és un framing negatiu intens que presenta la immigració com una amenaça bèl·lica; (4) 'destruye' és un verb carregat que implica destrucció total; (5) es creen bandos enfrontats implícits (immigrants vs ciutadans, tirano vs poble); (6) es valida una narrativa antimigratòria com a 'veritat' única. Polarització extrema i sistemàtica amb 6+ indicis coordinats.",moderada,la invasión migratoria trae inseguridad y destruye el mercado de la vivienda,"Es presenten com a fets incontestables dues afirmacions causals complexes sense cap font ni dada: (1) que la immigració 'porta inseguretat' és una generalització abusiva que estableix una correlació causal no demostrada; (2) que 'destrueix' el mercat de l'habitatge és una altra afirmació causal simplificada sense evidència. A més, el terme 'invasión' ja deforma la realitat migratòria. Són múltiples claims presentats com a veritats absolutes sense suport empíric.",alta,La primera verdad que el aprendiz de tirano dice en 7 años: la invasión migratoria trae inseguridad y destruye el mercado de la vivienda.,"Saturació retòrica amb 6+ recursos emocionals coordinats: (1) 'aprendiz de tirano' evoca por i rebuig visceral; (2) 'invasión' és una paraula amb càrrega emocional bèl·lica molt intensa que genera alarma; (3) 'inseguridad' apel·la directament a la por; (4) 'destruye' és hiperbòlic i catastrofista; (5) 'la primera verdad en 7 años' crea indignació i desconfiança; (6) l'estructura retòrica de presentar una 'veritat' dins d'un marc de mentides sistemàtiques és manipulació emocional deliberada. Tot el text és un condensat emocional dissenyat per generar por, ràbia i rebuig simultàniament."
20,Llenguatge emocional,Dreta,moderada,Y siempre son los mismos. [...] Hace poco también había dos rumanas robando por aquí. [...] Hace poco vinieron un par de argelinos y le robaron la cadena a una mujer.,"Hi ha un framing negatiu coordinat que associa sistemàticament la inseguretat amb col·lectius ètnics concrets ('argelinos', 'rumanas'), presentant-los com a responsables únics dels problemes del barri. L'expressió 'siempre son los mismos' és una generalització ètnica implícita que funciona com a biaix estructural. A més, es construeix una narrativa de 'nosaltres (veïns de tota la vida) vs ells (nouvinguts)', creant bandos implícitament enfrontats. Tot i que no hi ha insults directes ni polarització extrema, la coordinació de framing negatiu + identificació ètnica + dicotomia nosaltres/ells suma 3-4 indicis coordinats, situant-ho en moderada.",lleu,Llamamos por cada incidencia a la Guardia Urbana y muchas veces nos dicen que solo hay dos patrullas para toda esta zona y que una sola patrulla no puede venir.,"Es presenta com a fet verificable que només hi ha dues patrulles per a tota la zona, però és una afirmació atribuïda vagament ('nos dicen') sense font oficial ni dades contrastables. Els relats de robatoris són anècdotes personals presentades com a evidència d'un problema sistèmic ('cada día, una historia nueva', 'el pan de cada día'), sense dades objectives de criminalitat que ho sustentin. És un sol tipus d'indicador (anècdotes com a prova sistèmica), per tant es manté en lleu.",moderada,"A mi abuela, de 88 años, la volvieron a robar. Le rompieron la clavícula, la cadera y el fémur. Todo por una simple cadena.","S'utilitzen múltiples recursos emocionals coordinats: (1) apel·lació a la vulnerabilitat extrema (àvia de 88 anys, home mayor), (2) detalls físics gràfics per generar indignació (clavícula, cadera, fèmur trencats), (3) contrast emocional amplificador ('Todo por una simple cadena'), (4) repetició anafòrica del patró víctima-agressor per acumular impacte, (5) urgència implícita amb 'hemos vuelto al mismo punto'. Són 4-5 recursos retòrics coordinats que busquen mobilitzar emocionalment l'audiència jove, situant la intensitat en moderada."
21,Desinformació,,alta,"Los desayunos de la vicepresidenta del Gobierno, Yolanda Díaz, son todo menos equilibrados porque hay un desequilibrio evidente para la salud y para los bolsillos, en este caso de todos los españoles: su ministerio pasa factura de nada más y nada menos que 68.000 euros","Framing negatiu estructural sistemàtic contra una figura política concreta (Yolanda Díaz) amb múltiples indicis coordinats: (1) framing negatiu reforçat amb 'pasa factura' (verb carregat que implica culpabilitat), (2) 'todo menos equilibrados' com a valoració denigrant, (3) 'desequilibrio evidente para la salud y para los bolsillos' combina framing negatiu amb apel·lació econòmica amplificada, (4) 'de todos los españoles' crea un bando enfrontat implícit (ella vs tots els ciutadans), (5) la cifra '68.000 euros' amplifica el framing negatiu, (6) 'churros, porras y bollería industrial' denigra amb detalls ridiculitzants, (7) 'muy lejos de la dieta saludable que recomiendan en Sanidad o Consumo' afegeix ironia per subratllar hipocresia. Són 6+ indicis coordinats amb intenció clara de denigrar una figura política progressista.",moderada,"su ministerio pasa factura de nada más y nada menos que 68.000 euros destinados a ese primer almuerzo diario. El ministerio de Trabajo y Economía Social, dirigido por Yolanda Díaz, se gasta 68.000 euros en churros, porras y bollería industrial para los desayunos de sus empleados","La cifra de 68.000 euros es presenta sense cap font verificable (no s'esmenta cap partida pressupostària, BOE, contracte públic ni informe). A més, es personalitza en Yolanda Díaz una despesa que, si existís, seria administrativa i no personal, creant una narrativa enganyosa d'atribució de responsabilitat directa. La generalització 'churros, porras y bollería industrial' suggereix que TOTA la despesa va a aquests productes sense cap desglossament, la qual cosa és una simplificació potencialment enganyosa.",alta,"son todo menos equilibrados porque hay un desequilibrio evidente para la salud y para los bolsillos, en este caso de todos los españoles: su ministerio pasa factura de nada más y nada menos que 68.000 euros","Saturació retòrica amb 6+ recursos coordinats: (1) hipèrbole 'nada más y nada menos que 68.000 euros' per dramatitzar la cifra, (2) joc de paraules retòric 'equilibrados/desequilibrio' com a recurs estilístic manipulatiu, (3) apel·lació a la butxaca col·lectiva 'los bolsillos de todos los españoles' per provocar indignació, (4) ironia com a arma emocional al comparar amb 'la dieta saludable que recomiendan en Sanidad o Consumo', (5) 'pasa factura' és metàfora emocional de càstig/culpa, (6) enumeració ridiculitzant 'churros, porras y bollería industrial' per provocar menyspreu. El text està dissenyat per generar indignació i ridiculització, no per informar."
22,Desinformació,,alta,"Soy inmigrante, no trabajo. Recibo ayudas cada mes. Vivo de la comida y de ocupar viviendas. Ocupo esta casa desde hace 10 años y nunca he pagado alquiler.","El text construeix un arquetip d'immigrant com a paràsit social de manera sistemàtica i coordinada. Hi ha biaix xenòfob estructural: framing negatiu extrem on la figura de l'immigrant es redueix a 'no treballa, ocupa, viu d'ajudes'. Polarització explícita 'nosaltres vs ells' ('tú trabajas y yo como de tu dinero'). Denigració directa d'un col·lectiu sencer presentant una caricatura com a representativa. El text funciona com a propaganda anti-immigració amb tots els tòpics coordinats: ocupació, ajudes, no treballar, viure de l'estat.",alta,"El dueño me paga la luz y el agua, y yo vivo gratis. También, durante los 10 años que he vivido aquí, nunca he trabajado. Solo vivo de ayudas, ayudas, ayudas.","Narrativa coordinada enganyosa que presenta com a sistèmic un escenari fictici o extremament anecdòtic. Múltiples claims sense cap font ni evidència: que el propietari paga llum i aigua a l'ocupant, que es pot viure 10 anys sense treballar només d'ajudes socials (contradiu el funcionament real del sistema d'ajudes espanyol, que té límits temporals i requisits). El format de 'testimoni personal' es fa servir per donar versemblança a una narrativa que descriu com a norma el que seria una excepció impossible, generalitzant-ho implícitament a tot un col·lectiu ('muchos españoles quieren entender muy bien').",alta,"Tú dices que tú trabajas y yo como de tu dinero. Muy bien, tú trabajas y yo como. ¿Por qué? Porque no todos van a trabajar; unos van a trabajar y otros van a tener que comer.","Saturació retòrica deliberada: to provocador i burlesc ('no muevo mi culo de la silla'), apel·lació directa a la indignació del receptor ('tú trabajas y yo como'), repetició anafòrica intensiva ('ayudas, ayudas, ayudas'), hipèrbole ('nunca he trabajado', '10 años'), interpel·lació directa al lector ('te lo agradezco para que lo entiendas'), ironia provocadora ('seguramente a muchos les gustaría estar como yo'), i tancament amb '¡Viva España!' com a activador identitari. Tot el text està dissenyat per generar ràbia i ressentiment cap als immigrants."
23,Desinformació,,alta,"Los tiroteos, los asesinatos, se han convertido en el paisaje de Cataluña. Hoy los catalanes se preguntan qué ha pasado en apenas dos generaciones para pasar de escuchar al sereno y dormir con la puerta abierta a convertirnos en Ciudad Juárez.","Framing negatiu sistemàtic i estructural: es presenta Catalunya com un territori definit pels 'tiroteos' i 'asesinatos' com a 'paisaje' (generalització extrema). Comparació deformant amb Ciudad Juárez (una de les ciutats més violentes del món), que és una analogia grotescament desproporcionada. Polarització implícita: 'nosaltres' (catalans víctimes) vs el govern d'Illa (responsable per inacció). Enumeració acumulativa de casos concrets per construir una narrativa de caos generalitzat. Bandes enfrontades: interpel·lació directa al president com a negador de la realitat ('¿Hasta cuándo piensa seguir negando esta realidad?'). Mínim 6 indicis coordinats: framing negatiu estructural, comparació deformant, verbs carregats ('ejecutado', 'asesinado'), generalització abusiva ('día a día'), bandos enfrontats i denigració de l'adversari polític.",moderada,"los asesinatos, tiroteos y agresiones que ya forman parte del día a día de Cataluña","Es mencionen casos concrets reals (tiroteig al carrer Balmes, Salou, apunyalament a Badalona) però s'extrapolen abusivament per afirmar que formen part del 'día a día' de Catalunya, cosa que les estadístiques de criminalitat no avalen. La comparació amb Ciudad Juárez (taxa d'homicidis centenars de vegades superior) és una distorsió flagrant de la realitat. No es proporcionen dades globals de criminalitat ni fonts, i es construeix una narrativa enganyosa basada en anècdotes presentades com a sistèmiques, amb omissió deliberada del context estadístic real.",alta,pasar de escuchar al sereno y dormir con la puerta abierta a convertirnos en Ciudad Juárez,"Saturació retòrica amb múltiples recursos coordinats: (1) paraules emocionals intenses ('asesinado', 'ejecutado', 'apuñalado', 'asesinatos', 'tiroteos'); (2) apel·lació a la identitat col·lectiva ('los catalanes se preguntan', 'convertirnos'); (3) contrast nostàlgic idealitzat ('escuchar al sereno y dormir con la puerta abierta') vs distòpia present ('Ciudad Juárez') com a hipèrbole extrema; (4) enumeració acumulativa amb ritme creixent per generar angoixa ('podríamos seguir enumerando'); (5) pregunta retòrica final carregada d'urgència i acusació ('¿Hasta cuándo piensa seguir negando?'); (6) ús de 'ejecutado' en lloc de 'matar' per maximitzar l'impacte emocional. Mínim 6 recursos retòrics coordinats deliberadament."
